Nazwa,Adres,Adres do mapy,Typ kuchni,Dzielnica,Ceny,Ocena,Opinii,Opis,Godziny,Pieszo Rama9,Pieszo Sukh101,Link
"Demonia Fetish and BDSM Club Sukhumvit 33, Bangkok (Open 5.30pm - Late)","9, 22 Soi Sukhumvit 33, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand","9, 22 Soi Sukhumvit 33, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",Międzynarodowa,Sukhumvit,,4.3,109,"Demonia Fetish to klimatyczny klub w Bangkoku, który wyróżnia się bogatym wyborem pokoi tematycznych oraz ciekawymi zajęciami wprowadzającymi (intro classes) dla osób początkujących. Warto wybrać się tu na sesję edukacyjną lub imprezę okolicznościową, kontaktując się wcześniej z pomocną właścicielką w celu ustalenia budżetu i preferencji. Goście chwalą miejsce za estetyczne wnętrza, czystość oraz uprzejmy i profesjonalny personel.",Pon: 6:00 PM – 2:00 AM | Wt: 6:00 PM – 2:00 AM | Śr: 6:00 PM – 2:00 AM | Czw: 6:00 PM – 2:00 AM | Pt: 6:00 PM – 2:00 AM | Sob: 6:00 PM – 2:00 AM | Ndz: 6:00 PM – 2:00 AM,3.1,7.1,https://www.google.com/maps/search/?api=1&query=9%2C+22+Soi+Sukhumvit+33%2C+Khwaeng+Khlong+Tan+Nuea%2C+Watthana%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJefUDwf2e4jARC4Q3W9FI9LY
Crave restaurant,"35 Soi Sukhumvit 11, Klongtoey-nua, Watthana, Krung Thep Maha Nakhon 10110, Thailand","35 Soi Sukhumvit 11, Klongtoey-nua, Watthana, Krung Thep Maha Nakhon 10110, Thailand",Międzynarodowa,Sukhumvit,,4.4,106,"Crave słynie z doskonałego bufetu z owocami morza, w którym królują świeże grillowane krewetki rzeczne, kraby oraz sashimi z łososia. Warto spróbować także wolno pieczonej jagnięciny i pysznych deserów, takich jak panna cotta czy key lime pie, które goście uznają za kulinarny hit. Restauracja oferuje świetny stosunek jakości do ceny, profesjonalną obsługę i jest w pełni przystosowana dla rodzin z dziećmi.","Pon: 6:00 – 10:30 AM | Wt: 6:00 – 10:30 AM | Śr: 6:00 – 10:30 AM | Czw: 6:00 – 10:30 AM | Pt: 6:00 – 10:30 AM, 6:00 – 10:00 PM | Sob: 6:00 – 11:00 AM, 6:00 – 10:00 PM | Ndz: 6:00 – 11:00 AM",2.9,8.8,https://www.google.com/maps/search/?api=1&query=35+Soi+Sukhumvit+11%2C+Klongtoey-nua%2C+Watthana%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJu9MvGeae4jAR6ZbRUt-v55A
ตำตำ แซ่บต้นตำรับ เบลล์ แกรนด์ พระราม9,"Ground floor, The Shoppes at Belle, 131 Soi Rama 9 Soi 3, Khwaeng Huai Khwang, Khet Huai Khwang, Krung Thep Maha Nakhon 10310, Thailand","Ground floor, The Shoppes at Belle, 131 Soi Rama 9 Soi 3, Khwaeng Huai Khwang, Khet Huai Khwang, Krung Thep Maha Nakhon 10310, Thailand",Międzynarodowa,Huai Khwang,,4.7,105,"To doskonała restauracja z kuchnią regionu Isan w okolicy Rama 9, która wyróżnia się wyjątkowo smacznymi potrawami o autentycznym charakterze. Warto tu zajrzeć szczególnie dla dań o wyrazistym kwaśnym i ostrym profilu smakowym, które goście uznają za fenomenalne. Choć obsługa może mieć trudności z komunikacją przy dużych grupach obcokrajowców, jakość jedzenia sprawia, że miejsce jest gorąco polecane.",Pon: 10:00 AM – 8:00 PM | Wt: 10:00 AM – 8:00 PM | Śr: 10:00 AM – 8:00 PM | Czw: 10:00 AM – 8:00 PM | Pt: 10:00 AM – 8:00 PM | Sob: 10:00 AM – 8:00 PM | Ndz: 10:00 AM – 8:00 PM,0.7,10.3,https://www.google.com/maps/search/?api=1&query=Ground+floor%2C+The+Shoppes+at+Belle%2C+131+Soi+Rama+9+Soi+3%2C+Khwaeng+Huai+Khwang%2C+Khet+Huai+Khwang%2C+Krung+Thep+Maha+Nakhon+10310%2C+Thailand&query_place_id=ChIJFcMJMLef4jARE5_zaFNhlMI
KOI Thé - Central World,"ห้องเลขที่ K322 ชั้น 3 เลขที่ 999, 9 ถ. พระรามที่ 1 แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330, Thailand","ห้องเลขที่ K322 ชั้น 3 เลขที่ 999, 9 ถ. พระรามที่ 1 แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330, Thailand",Międzynarodowa,,$$$,4.4,95,"KOI Thé w CentralWorld wyróżnia się doskonałymi proporcjami herbaty do mleka oraz sprawną obsługą, która często przyjmuje zamówienia już od osób stojących w kolejce. Warto spróbować zielonej herbaty mlecznej z unikalnym, żujnym dodatkiem Taro Q lub Matcha Macchiato z kremową pianką, a dla osób unikających kofeiny dostępne są napoje Ovaltine i Milo. Choć lokal przyciąga nowoczesnym designem, niektórzy klienci odradzają wybór droższych opcji, takich jak Brown Sugar Fresh Milk czy napój o smaku Biscoff, oceniając ich walory smakowe jako zbyt mało intensywne.",Pon: 10:00 AM – 10:00 PM | Wt: 10:00 AM – 10:00 PM | Śr: 10:00 AM – 10:00 PM | Czw: 10:00 AM – 10:00 PM | Pt: 10:00 AM – 10:00 PM | Sob: 10:00 AM – 10:00 PM | Ndz: 10:00 AM – 10:00 PM,4.0,10.5,https://www.google.com/maps/search/?api=1&query=%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%88+K322+%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99+3+%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%88+999%2C+9+%E0%B8%96.+%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%97%E0%B8%B5%E0%B9%88+1+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%9B%E0%B8%97%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%B1%E0%B8%99+%E0%B9%80%E0%B8%82%E0%B8%95%E0%B8%9B%E0%B8%97%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%B1%E0%B8%99+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10330%2C+Thailand&query_place_id=ChIJncVtGOeZ4jARx0BKfuRy36Q
Pasta 54,"29 Soi Saeng Ngoen, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand","29 Soi Saeng Ngoen, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",Międzynarodowa,Watthana,,4.5,93,"Pasta 54 to kameralna restauracja serwująca autentyczne, domowe dania kuchni włoskiej w bardzo przystępnych cenach, wśród których goście szczególnie polecają spaghetti vongole, lasagne oraz pizzę margherita. Miejsce wyróżnia się rodzinną, nieformalną atmosferą i prostym wystrojem, oferując smaki oparte na wieloletnich recepturach, które według recenzentów dorównują najlepszym lokalom w Rzymie. Choć wnętrze jest bardzo małe i ciche, przyciąga stałych klientów wysoką jakością potraw, takich jak makaron z pesto porcini czy penne arrabiata.",Pon: 11:00 AM – 9:00 PM | Wt: 11:00 AM – 9:00 PM | Śr: 11:00 AM – 9:00 PM | Czw: 11:00 AM – 9:00 PM | Pt: 11:00 AM – 9:00 PM | Sob: 11:00 AM – 9:00 PM | Ndz: 11:00 AM – 9:00 PM,3.3,7.3,https://www.google.com/maps/search/?api=1&query=29+Soi+Saeng+Ngoen%2C+Khwaeng+Khlong+Tan+Nuea%2C+Watthana%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJBTTVJFGe4jARsl1WNDsHCB8
PornPotchana พรโภชนา,"398 Thanon Udom Suk, Bang Na Nuea, Khet Bang Na, Krung Thep Maha Nakhon 10260, Thailand","398 Thanon Udom Suk, Bang Na Nuea, Khet Bang Na, Krung Thep Maha Nakhon 10260, Thailand",Międzynarodowa,Bang Na,$$$,4.3,89,"PornPotchana to ceniona za przystępne ceny restauracja serwująca dania kuchni tajskiej i chińskiej, będąca doskonałym wyborem na posiłek późno w nocy. Warto zamówić tu specjalność lokalu – zupę ryżową Khao-Tom – a także polecane smażone jelita wieprzowe, ostrygi, kałamarnicę w tempurze lub rybę na parze. Miejsce wyróżnia się autentycznym smakiem i bogatym menu, które zadowoli miłośników owoców morza i klasycznych dań z ryżem.",Pon: 4:30 PM – 2:00 AM | Wt: 4:30 PM – 2:00 AM | Śr: 4:30 PM – 2:00 AM | Czw: 4:30 PM – 2:00 AM | Pt: 4:30 PM – 2:00 AM | Sob: 4:30 PM – 2:00 AM | Ndz: 4:30 PM – 2:00 AM,12.4,2.5,https://www.google.com/maps/search/?api=1&query=398+Thanon+Udom+Suk%2C+Bang+Na+Nuea%2C+Khet+Bang+Na%2C+Krung+Thep+Maha+Nakhon+10260%2C+Thailand&query_place_id=ChIJVfkfb-RfHTERN5w2Tx0vJmk
Miss Hong Khao Man Gai (Chicken Rice),"888, 30 Thanon Phloen Chit, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand","888, 30 Thanon Phloen Chit, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",Międzynarodowa,Pathum Wan,,4.4,86,"Miss Hong Khao Man Gai to popularny wśród lokalnych pracowników lokal, który wyróżnia się możliwością wyboru między mięsem z piersi a uda oraz wyjątkowo smacznymi sosami. Warto zamówić chrupiącego smażonego kurczaka i aromatyczny ryż, które serwowane są w solidnych porcjach i rozsądnych cenach. Choć w porze lunchu bywa tu tłoczno, miejsce oferuje spokojniejszą atmosferę niż typowo turystyczne punkty.",Pon: 7:00 AM – 4:00 PM | Wt: 7:00 AM – 4:00 PM | Śr: 7:00 AM – 4:00 PM | Czw: 7:00 AM – 4:00 PM | Pt: 7:00 AM – 4:00 PM | Sob: 7:00 AM – 4:00 PM | Ndz: Closed,3.6,9.2,https://www.google.com/maps/search/?api=1&query=888%2C+30+Thanon+Phloen+Chit%2C+Khwaeng+Lumphini%2C+Pathum+Wan%2C+Krung+Thep+Maha+Nakhon+10330%2C+Thailand&query_place_id=ChIJnXghFd-f4jARn2doffsEFKE
MINKKI Central Rama 9 หมิงคิ เซ็นทรัลพระราม 9,"9, ใกล้ฮาเบอร์แลนด์, 9/9 Rama IX Rd, Khwaeng Huai Khwang, Khet Huai Khwang, Krung Thep Maha Nakhon 10320, Thailand","9, ใกล้ฮาเบอร์แลนด์, 9/9 Rama IX Rd, Khwaeng Huai Khwang, Khet Huai Khwang, Krung Thep Maha Nakhon 10320, Thailand",Międzynarodowa,Huai Khwang,,5.0,83,"MINKKI to znana z molo Nonthaburi lodziarnia, która wyróżnia się wyjątkowo korzystnymi cenami na tle całego centrum handlowego. Klienci polecają to miejsce za pyszny smak serwowanych lodów oraz bardzo dobrą obsługę.",Pon: 10:45 AM – 9:30 PM | Wt: 10:45 AM – 9:30 PM | Śr: 10:45 AM – 9:30 PM | Czw: 10:45 AM – 9:30 PM | Pt: 10:45 AM – 9:30 PM | Sob: 10:45 AM – 9:30 PM | Ndz: 10:45 AM – 9:30 PM,0.7,10.1,https://www.google.com/maps/search/?api=1&query=9%2C+%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%AE%E0%B8%B2%E0%B9%80%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B9%81%E0%B8%A5%E0%B8%99%E0%B8%94%E0%B9%8C%2C+9%2F9+Rama+IX+Rd%2C+Khwaeng+Huai+Khwang%2C+Khet+Huai+Khwang%2C+Krung+Thep+Maha+Nakhon+10320%2C+Thailand&query_place_id=ChIJ17saE-2f4jAR4zKhwajlNok
Zab Zab E-San Food & Bar,"59 ถนน สุขุมวิท Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand","59 ถนน สุขุมวิท Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",Międzynarodowa,Watthana,,4.6,82,"Zab Zab E-San Food & Bar specjalizuje się w wyrazistej kuchni Isaan, a goście szczególnie polecają sałatkę z kukurydzy (Yum Khao Pod) z solonym jajkiem, aromatyczny Larb Tod oraz wyjątkowo delikatny grillowany kark wieprzowy. Restauracja oferuje klimatyzowane wnętrze i bardzo życzliwą obsługę, jednak warto trzymać się dań regionalnych, gdyż klasyczne Pad Kra Pao zbiera tu bardzo słabe opinie. Choć wielu klientów chwali lokal za świetny klimat i ceny, pojawiają się również krytyczne głosy dotyczące czystości i zapachu wewnątrz.",Pon: 11:00 AM – 3:00 AM | Wt: 11:00 AM – 3:00 AM | Śr: 11:00 AM – 3:00 AM | Czw: 11:00 AM – 3:00 AM | Pt: 11:00 AM – 3:00 AM | Sob: 11:00 AM – 3:00 AM | Ndz: 11:00 AM – 3:00 AM,2.6,7.8,https://www.google.com/maps/search/?api=1&query=59+%E0%B8%96%E0%B8%99%E0%B8%99+%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%97+Khwaeng+Khlong+Toei+Nuea%2C+Watthana%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJd_2r0pCf4jARynkd0wwftjs
Fil Fil,"11, 24 Soi Sukhumvit 1, Khwaeng Khlong Toei Nuea, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand","11, 24 Soi Sukhumvit 1, Khwaeng Khlong Toei Nuea, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",Międzynarodowa,Sukhumvit,,4.4,82,"Ta rodzinna restauracja, znana również jako Thai Bangla, słynie z niezwykle przyjaznej obsługi oraz smacznych dań kuchni bengalskiej i tajskiej w wersji halal. Warto zamówić kurczaka w mleku kokosowym z galangalem lub mieloną wołowinę z bazylią i ryżem, pamiętając, że poziom ostrości potraw można dostosować do własnych preferencji. Miejsce wyróżnia się czystością, rozsądnymi cenami oraz gościnnością właściciela, co czyni je świetnym punktem na autentyczny, lokalny posiłek.",Pon: 9:00 AM – 11:30 PM | Wt: 9:00 AM – 11:30 PM | Śr: 9:00 AM – 11:30 PM | Czw: 9:00 AM – 11:30 PM | Pt: 9:00 AM – 11:30 PM | Sob: 9:00 AM – 11:30 PM | Ndz: 9:00 AM – 11:30 PM,3.0,9.1,https://www.google.com/maps/search/?api=1&query=11%2C+24+Soi+Sukhumvit+1%2C+Khwaeng+Khlong+Toei+Nuea%2C+Khet+Khlong+Toei%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJcZ_lQE6f4jARJ57NrzH1kUU
Nan Yuan,"1 Rachadaphisek Road, Fortune Town, แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400, Thailand","1 Rachadaphisek Road, Fortune Town, แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400, Thailand",Międzynarodowa,,,4.4,82,"Nan Yuan to elegancka restauracja słynąca z doskonałego bufetu dim sum oraz wyśmienitej kaczki po pekińsku, które wyróżniają się wysoką jakością składników i atrakcyjną ceną. Warto spróbować także tutejszej zupy dnia, kurczaka w winie oraz deserów, serwowanych w stylowych wnętrzach łączących nowoczesność z chińską tradycją. Goście doceniają uprzejmą obsługę, choć przy dużym obłożeniu czas oczekiwania na niektóre zamówienia może być wydłużony.","Pon: 11:30 AM – 2:00 PM, 6:00 – 10:00 PM | Wt: 11:30 AM – 2:00 PM, 6:00 – 10:00 PM | Śr: 11:30 AM – 2:00 PM, 6:00 – 10:00 PM | Czw: 11:30 AM – 2:00 PM, 6:00 – 10:00 PM | Pt: 11:30 AM – 2:00 PM, 6:00 – 10:00 PM | Sob: 11:30 AM – 2:00 PM, 6:00 – 10:00 PM | Ndz: 11:30 AM – 2:00 PM, 6:00 – 10:00 PM",0.6,10.1,https://www.google.com/maps/search/?api=1&query=1+Rachadaphisek+Road%2C+Fortune+Town%2C+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B9%81%E0%B8%94%E0%B8%87+%E0%B9%80%E0%B8%82%E0%B8%95%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B9%81%E0%B8%94%E0%B8%87+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10400%2C+Thailand&query_place_id=ChIJoQAxEo2e4jARH3lFF9TnZhQ
Gindaco Esplanade Ratchada,"ชั้น B, เลขที่ 99 Thanon Ratchadaphisek, Khwaeng Din Daeng, Khet Din Daeng, Krung Thep Maha Nakhon 10400, Thailand","ชั้น B, เลขที่ 99 Thanon Ratchadaphisek, Khwaeng Din Daeng, Khet Din Daeng, Krung Thep Maha Nakhon 10400, Thailand",Międzynarodowa,Din Daeng,,4.3,81,"Ta znana japońska sieciówka oferuje autentyczne takoyaki o soczystym wnętrzu, które klienci szczególnie polecają zamawiać w zestawie z herbatą matcha. Lokal wyróżnia się bardzo uprzejmą obsługą i gościnną atmosferą, choć pojawiają się też pojedyncze głosy krytykujące temperaturę serwowanych potraw.",Pon: 11:00 AM – 9:00 PM | Wt: 11:00 AM – 9:00 PM | Śr: 11:00 AM – 9:00 PM | Czw: 11:00 AM – 9:00 PM | Pt: 11:00 AM – 9:00 PM | Sob: 11:00 AM – 9:00 PM | Ndz: 11:00 AM – 9:00 PM,1.6,11.1,https://www.google.com/maps/search/?api=1&query=%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99+B%2C+%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%88+99+Thanon+Ratchadaphisek%2C+Khwaeng+Din+Daeng%2C+Khet+Din+Daeng%2C+Krung+Thep+Maha+Nakhon+10400%2C+Thailand&query_place_id=ChIJy1XUt4ie4jARF00gWPRnc30
BANGLA KHABAR,"23, 5 Soi Sukhumvit 11, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand","23, 5 Soi Sukhumvit 11, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",Międzynarodowa,Sukhumvit,,4.5,78,"Bangla Khabar to wyjątkowa restauracja serwująca autentyczną kuchnię bengalską i dania halal, które goście chwalą za tradycyjny smak oraz wysoką jakość. Miejsce wyróżnia się doskonałą obsługą i przystępnymi cenami, stanowiąc idealny wybór dla osób szukających prawdziwego „comfort food” w sercu Bangkoku. Opisywane jest jako jedna z najlepszych restauracji z tego regionu, oferująca kulinarne doświadczenie na najwyższym poziomie.",Pon: 9:00 AM – 1:00 AM | Wt: 9:00 AM – 1:00 AM | Śr: 9:00 AM – 1:00 AM | Czw: 9:00 AM – 1:00 AM | Pt: 9:00 AM – 1:00 AM | Sob: 9:00 AM – 1:00 AM | Ndz: 9:00 AM – 1:00 AM,3.0,8.6,https://www.google.com/maps/search/?api=1&query=23%2C+5+Soi+Sukhumvit+11%2C+Khwaeng+Khlong+Toei+Nuea%2C+Watthana%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJkYvLKd-f4jAROG5pvsAB-uA
SUAD BAR,"94 Sukhumvit Rd, Khwaeng Khlong Toei, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand","94 Sukhumvit Rd, Khwaeng Khlong Toei, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",Międzynarodowa,Sukhumvit,,4.8,77,"SUAD BAR to przytulny lokal z bogatym wyborem lokalnych i zagranicznych piw rzemieślniczych, cydrów oraz win, w którym pomocna obsługa chętnie oferuje darmowe próbki i doradza przy wyborze. Warto spróbować piwa typu Helles, orzeźwiającego Melon Mojito lub wyjątkowej sałatki z liści herbaty w stylu birmańskim. Miejsce wyróżnia się swobodną atmosferą, uczciwym podejściem personelu do klienta oraz świetną selekcją muzyki alternatywnej i rockowej.",Pon: 5:00 – 11:30 PM | Wt: 5:00 – 11:30 PM | Śr: 5:00 – 11:30 PM | Czw: 5:00 – 11:30 PM | Pt: 5:00 – 11:30 PM | Sob: 5:00 – 11:30 PM | Ndz: 5:00 – 11:30 PM,3.1,8.7,https://www.google.com/maps/search/?api=1&query=94+Sukhumvit+Rd%2C+Khwaeng+Khlong+Toei%2C+Khet+Khlong+Toei%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJm5kuWgmf4jAR7UnMzpWWuYg
ร้านอิสลาม ข้าวหมกไก่ย่างบังฟารุก 39 บาท อิสลาม ฮาลาล ชั้น4 The Street Ratchada - Halal Food - 曼谷“邦发禄烤鸡”清真餐厅 รับทำข้าวกล่อง,"ชั้น4, ศูนย์อาหาร เดอะสตรีท รัชดา, Khwaeng Din Daeng, Khet Din Daeng, Krung Thep Maha Nakhon 10400, Thailand","ชั้น4, ศูนย์อาหาร เดอะสตรีท รัชดา, Khwaeng Din Daeng, Khet Din Daeng, Krung Thep Maha Nakhon 10400, Thailand",Międzynarodowa,Din Daeng,,4.8,69,"To miejsce słynie z wyśmienitego biryani z dużymi porcjami grillowanego lub smażonego kurczaka, który zachwyca aromatycznymi przyprawami i dodatkiem pysznych sosów oraz zupy. Lokal oferuje przystępne cenowo dania halal, w tym opcje dla fanów pikantnych smaków, jednak menu opiera się głównie na drobiu. Przed złożeniem zamówienia należy wykupić specjalną kartę płatniczą w kasie food courtu, a posiłek warto zaplanować przed godziną 21:30.",Pon: 11:00 AM – 10:00 PM | Wt: 11:00 AM – 10:00 PM | Śr: 11:00 AM – 10:00 PM | Czw: 11:00 AM – 10:00 PM | Pt: 11:00 AM – 10:00 PM | Sob: 11:00 AM – 10:00 PM | Ndz: 11:00 AM – 10:00 PM,2.3,11.7,https://www.google.com/maps/search/?api=1&query=%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%994%2C+%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3+%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0%E0%B8%AA%E0%B8%95%E0%B8%A3%E0%B8%B5%E0%B8%97+%E0%B8%A3%E0%B8%B1%E0%B8%8A%E0%B8%94%E0%B8%B2%2C+Khwaeng+Din+Daeng%2C+Khet+Din+Daeng%2C+Krung+Thep+Maha+Nakhon+10400%2C+Thailand&query_place_id=ChIJy1sp4NqZ4jARyTqDh_NAFDo
โรงพยาบาลสัตว์สหมิตร,"574 Soi Pho Pan, Khwaeng Din Daeng, Khet Din Daeng, Krung Thep Maha Nakhon 10400, Thailand","574 Soi Pho Pan, Khwaeng Din Daeng, Khet Din Daeng, Krung Thep Maha Nakhon 10400, Thailand",Międzynarodowa,Din Daeng,,4.4,69,"Ta klinika weterynaryjna specjalizuje się w szczepieniach, kastracji oraz skutecznym leczeniu infekcji u zwierząt, oferując przy tym bardzo przystępne ceny. Klienci chwalą doświadczonego lekarza za troskliwe podejście i sprawne przeprowadzanie zabiegów, takich jak obcinanie pazurów czy podawanie zastrzyków. Warto jednak przygotować się na szybkie tempo pracy personelu, który skupia się przede wszystkim na konkretnym wykonaniu zadania.",Pon: 8:30 AM – 7:00 PM | Wt: 8:30 AM – 7:00 PM | Śr: 8:30 AM – 7:00 PM | Czw: 8:30 AM – 7:00 PM | Pt: 8:30 AM – 7:00 PM | Sob: 8:30 AM – 7:00 PM | Ndz: Closed,0.9,10.3,https://www.google.com/maps/search/?api=1&query=574+Soi+Pho+Pan%2C+Khwaeng+Din+Daeng%2C+Khet+Din+Daeng%2C+Krung+Thep+Maha+Nakhon+10400%2C+Thailand&query_place_id=ChIJFS6xkJKe4jARZ0ApyTenNE8
Capone's Pizza (Sukhumvit 101/1),"Di Wavery Place Community Mall Unit, 29/1 ถนน สุขุมวิท 101/1 Khwaeng Bang Chak, Khet Phra Khanong, Krung Thep Maha Nakhon 10260, Thailand","Di Wavery Place Community Mall Unit, 29/1 ถนน สุขุมวิท 101/1 Khwaeng Bang Chak, Khet Phra Khanong, Krung Thep Maha Nakhon 10260, Thailand",Międzynarodowa,Phra Khanong,,4.4,68,"To miejsce słynie z doskonałej pizzy w stylu Chicago (Deep Dish) z bogatym sosem i imponująco ciągnącym się serem, a goście szczególnie polecają także węzły czosnkowe (garlic knots) oraz skrzydełka buffalo. Lokal wyróżnia się przytulnym, drewnianym wystrojem i ofertą barową z piwem Guinness, co czyni go idealnym punktem na relaks przy muzyce na żywo w sobotnie wieczory. To świetny wybór dla osób szukających autentycznych, amerykańskich smaków w restauracyjnej atmosferze sprzyjającej spotkaniom z przyjaciółmi.",Pon: 11:00 AM – 2:00 AM | Wt: 11:00 AM – 2:00 AM | Śr: 11:00 AM – 2:00 AM | Czw: 11:00 AM – 2:00 AM | Pt: 11:00 AM – 2:00 AM | Sob: 11:00 AM – 2:00 AM | Ndz: 11:00 AM – 2:00 AM,10.8,0.9,https://www.google.com/maps/search/?api=1&query=Di+Wavery+Place+Community+Mall+Unit%2C+29%2F1+%E0%B8%96%E0%B8%99%E0%B8%99+%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%97+101%2F1+Khwaeng+Bang+Chak%2C+Khet+Phra+Khanong%2C+Krung+Thep+Maha+Nakhon+10260%2C+Thailand&query_place_id=ChIJJ3cSMK6h4jARfopaDGSrf_U
